1.516,12.878,3.430,1.401,73.282,0.689,8.045,0.000,0.122,0
1.518,12.978,3.538,1.211,73.002,0.652,8.529,0.000,0.000,0
1.522,14.208,3.821,0.470,71.770,0.112,9.573,0.000,0.000,0
1.522,13.210,3.772,0.791,71.988,0.130,10.245,0.000,0.000,0
1.518,13.390,3.659,1.189,72.789,0.571,8.271,0.000,0.056,0
1.521,13.689,3.592,1.121,71.960,0.087,9.400,0.000,0.000,0
1.518,13.151,3.610,1.051,73.237,0.571,8.238,0.000,0.000,0
1.519,13.902,3.731,1.179,72.123,0.062,8.895,0.000,0.000,0
1.518,13.210,3.480,1.410,72.638,0.590,8.432,0.000,0.000,0
1.519,13.583,3.350,1.231,72.078,0.590,8.905,0.000,0.000,0
1.512,12.991,3.471,1.121,72.980,0.621,8.346,0.000,0.158,0
1.520,13.809,3.579,1.320,71.720,0.118,8.669,0.690,0.000,0
1.518,13.889,3.601,1.359,72.728,0.478,7.829,0.000,0.000,0
1.518,12.678,3.668,1.160,73.108,0.609,8.701,0.000,0.000,0
1.517,13.377,3.502,1.150,72.851,0.503,8.432,0.000,0.000,0
1.517,12.838,3.502,1.141,73.271,0.559,8.550,0.000,0.000,0
1.522,13.729,3.839,0.720,71.759,0.168,9.745,0.000,0.000,0
1.518,12.871,3.480,1.292,72.952,0.602,8.432,0.000,0.000,0
1.519,14.417,3.579,1.369,72.078,0.559,8.303,0.000,0.000,0
1.518,12.798,3.659,1.269,73.008,0.602,8.561,0.000,0.000,0
1.518,12.811,3.570,1.349,73.019,0.621,8.593,0.000,0.000,0
1.518,12.692,3.538,1.340,72.952,0.571,8.755,0.000,0.000,0
1.518,12.791,3.502,1.121,73.030,0.640,8.766,0.000,0.000,0
1.518,13.137,2.842,1.279,72.851,0.553,9.067,0.000,0.000,0
1.522,13.051,3.650,0.871,72.218,0.193,9.852,0.000,0.087,0
1.516,12.791,3.610,1.619,72.968,0.640,8.066,0.000,0.133,0
1.517,13.018,3.538,1.690,72.728,0.540,8.443,0.000,0.036,0
1.518,12.851,3.480,1.231,72.968,0.609,8.561,0.091,0.112,0
1.518,13.210,3.390,1.330,72.761,0.590,8.593,0.000,0.000,0
1.518,13.483,3.740,1.170,72.991,0.590,8.034,0.000,0.000,0
1.522,13.051,3.650,0.871,72.319,0.193,9.852,0.000,0.087,0
1.517,13.297,3.601,1.141,73.092,0.578,8.174,0.000,0.000,0
1.516,12.718,3.462,1.561,73.198,0.671,8.088,0.000,0.122,0
1.517,12.871,3.480,1.330,73.041,0.559,8.432,0.000,0.000,0
1.519,13.889,3.529,1.320,71.809,0.509,8.776,0.110,0.000,0
1.519,13.191,3.372,1.179,72.722,0.571,8.830,0.000,0.082,0
1.522,13.510,3.861,0.881,71.792,0.230,9.540,0.000,0.056,0
1.518,12.998,3.601,1.359,72.991,0.571,8.400,0.000,0.056,0
1.518,12.811,3.538,1.231,73.237,0.578,8.389,0.000,0.000,0
1.518,13.774,3.489,1.279,72.862,0.602,8.486,0.000,0.000,0
1.518,12.572,3.471,1.381,73.388,0.602,8.550,0.000,0.031,0
1.518,12.732,3.430,1.189,72.952,0.621,8.755,0.000,0.153,0
1.523,13.723,3.722,0.511,71.748,0.087,10.568,0.000,0.082,0
1.523,13.310,3.579,0.820,71.988,0.118,10.175,0.000,0.015,0
1.521,13.643,4.490,1.099,71.781,0.062,8.755,0.000,0.000,0
1.518,12.818,3.552,1.491,72.750,0.540,8.518,0.000,0.097,0
1.522,14.208,3.821,0.470,71.770,0.112,9.573,0.000,0.000,0
1.527,13.989,3.700,0.711,71.568,0.019,9.820,0.000,0.051,0
1.519,13.197,3.332,1.279,72.358,0.602,9.142,0.000,0.056,0
1.522,13.483,3.740,0.900,72.011,0.180,9.605,0.000,0.036,0
1.516,13.530,3.552,1.539,72.991,0.391,7.776,0.000,0.000,0
1.518,12.612,3.592,1.311,73.288,0.578,8.497,0.000,0.000,0
1.518,12.559,3.520,1.430,73.148,0.571,8.540,0.000,0.000,0
1.518,12.738,3.480,1.349,72.957,0.640,8.680,0.000,0.000,0
1.518,13.430,2.869,1.189,72.840,0.553,9.035,0.000,0.000,0
1.522,13.117,3.579,0.900,72.201,0.230,9.820,0.000,0.082,0
1.517,13.270,3.619,1.240,73.080,0.553,8.066,0.000,0.000,0
1.517,12.858,3.561,1.269,73.209,0.540,8.378,0.000,0.087,0
1.517,12.778,3.619,1.292,72.789,0.590,8.701,0.000,0.000,0
1.518,12.652,3.561,1.301,73.080,0.609,8.690,0.000,0.071,0
1.518,12.712,3.421,1.198,73.198,0.590,8.636,0.000,0.000,0
1.518,12.452,2.712,1.292,73.702,0.559,9.056,0.000,0.122,0
1.519,13.603,3.619,1.109,72.638,0.143,8.755,0.000,0.000,0
1.518,13.210,3.691,1.292,72.610,0.571,8.217,0.000,0.000,0
1.516,13.290,3.448,1.211,72.739,0.559,8.572,0.000,0.000,0
1.522,14.168,3.812,0.781,71.350,0.000,9.691,0.000,0.000,0
1.520,14.773,3.749,0.290,72.022,0.031,9.002,0.000,0.000,0
1.518,13.210,2.811,1.292,72.980,0.509,9.024,0.000,0.459,0
1.522,14.361,3.848,0.890,71.361,0.149,9.153,0.000,0.000,0
1.519,13.490,3.480,1.349,71.949,0.553,9.002,0.000,0.000,0
1.517,11.947,0.000,1.189,75.180,2.701,8.927,0.000,0.000,0
1.521,14.361,0.000,2.020,73.422,0.000,8.443,1.641,0.000,0
1.511,13.689,3.201,1.812,72.812,1.757,5.430,1.191,0.000,0
1.516,13.869,0.000,2.540,73.232,0.143,9.411,0.810,0.005,0
1.516,14.368,0.000,2.739,72.851,0.000,9.454,0.539,0.000,0
1.523,13.443,3.341,1.231,72.380,0.602,8.830,0.000,0.000,0
1.515,14.141,0.000,2.681,73.388,0.081,9.067,0.611,0.025,0
1.517,14.381,0.000,1.940,73.612,0.000,8.475,1.569,0.000,0
1.517,14.560,0.000,1.978,73.288,0.000,8.518,1.569,0.036,0
1.516,14.939,0.000,1.869,73.108,0.000,8.669,1.380,0.000,0
1.517,14.753,0.000,2.001,73.019,0.000,8.529,1.591,0.041,0
1.516,14.953,0.000,2.271,73.299,0.000,8.712,0.671,0.000,0
1.517,14.228,0.000,2.081,73.360,0.000,8.615,1.669,0.000,0
1.524,15.791,1.832,1.311,70.432,0.310,8.615,1.679,0.000,0
1.515,14.853,0.000,2.421,73.719,0.000,8.389,0.561,0.000,0
1.517,14.919,0.000,1.991,73.580,0.000,8.400,1.591,0.000,0
1.516,14.201,0.000,2.791,73.461,0.037,9.045,0.400,0.459,0
1.515,14.381,0.000,2.659,73.097,0.037,9.078,0.639,0.000,0
1.516,15.126,0.000,2.511,73.052,0.050,8.830,0.529,0.000,0
1.518,14.387,0.000,1.821,72.862,1.410,6.474,2.879,0.000,0
1.516,14.853,0.000,2.380,73.282,0.000,8.755,0.639,0.459,0
1.517,14.700,0.000,2.341,73.282,0.000,8.949,0.661,0.000,0
1.516,14.141,0.000,2.880,72.610,0.081,9.185,1.062,0.000,0
1.518,14.321,3.260,2.219,71.249,1.459,5.785,1.629,0.000,0
1.517,14.800,0.000,1.991,73.108,0.000,8.281,1.710,0.000,0
1.517,14.953,0.000,1.799,72.991,0.000,8.615,1.550,0.000,0
1.516,13.882,1.778,1.789,73.097,0.000,8.669,0.759,0.000,0
1.515,15.152,0.000,2.251,73.500,0.000,8.335,0.630,0.000,0
1.522,14.860,2.200,2.059,70.258,0.758,9.756,0.000,0.000,0
1.520,14.560,0.000,0.560,73.478,0.000,11.219,0.000,0.000,1
1.511,17.380,0.000,0.341,75.410,0.000,6.646,0.000,0.000,1
1.519,13.789,2.411,1.189,72.761,0.000,9.766,0.000,0.000,1
1.518,14.461,2.241,1.619,72.380,0.000,9.261,0.000,0.000,1
1.519,14.088,2.191,1.661,72.672,0.000,9.325,0.000,0.000,1
1.513,14.401,1.742,1.539,74.548,0.000,7.593,0.000,0.000,1
1.519,14.993,0.781,1.741,72.498,0.000,9.949,0.000,0.000,1
1.519,14.002,2.389,1.561,72.369,0.000,9.573,0.000,0.000,1
1.519,14.148,0.000,2.091,72.739,0.000,10.885,0.000,0.000,1
